date,username,content_clean,content_translated,sentiment
2023-04-08 15:01:24+00:00,txtdrakuntansi,dr piutang thr dr piutang gaji cr pendapatan jurnal accrual setaun sekali,from the receivables of the THR receivables from the salary receivables CR revenue journal accrual,neutral
2023-04-08 14:52:40+00:00,gummypark61,sedikit curhat bahkan pas korona aja pernah masuk full gaji setngah thr di utangin bahkan smp thn lalu jg semua dh normal thr msh dicicil apa gue ngeluh ke abang ojol gamau generalisasikan abang ojol krn ada yg baik jg tp skrg populasinya udh 5050 sekian trm ksh,"a little vent even when corona just entered full salary after the THR was debated even in junior high school then all of the normal THR MSH still in installments did I complain to the brother of Ojol, I didn't generalize the brother of the ojol because there was a good one but now the population was 5050 so much",neutral
2023-04-08 14:45:03+00:00,yufada_,rep dibawah sini yg mau spay thr receh 1000 untuk 5 orang draw via siapapun boleh ikut gak usah follow enih akun misuh2 dan join gea soalnya,Rep below are those who want to spay THR DREH 1000 for 5 DRAW VIA Via Anyone may not have to follow the Misuh2 account and join GEA because the problem is,negative
2023-04-08 13:39:44+00:00,mindaart,selamat kepada pemenang ga thr masing2 100 spay silakan dm no shopeepay,Congratulations to the winner of GA THR each 100 Spay please DM No Shopeepay,positive
2023-04-08 12:51:00+00:00,haelovelychan,ak supres pake link thr sama daget yh yg ke 4,A suppress packed link,neutral
2023-04-08 12:10:02+00:00,worksfess,work guys thr kalian cair tanggal berapaa,Work guys THR when is it disbursed what date,neutral
2023-04-08 12:05:35+00:00,iciocaica,kokas midnite sale next week gi midnite sale selamat menghabiskan thr nya manteman ❤️🫰🏽,Kokas Midnite Sale Next Week Gi Midnite Sale Safe to Spend Thr Manteman ❤️🫰🏽,positive
2023-04-08 11:33:36+00:00,kangsoul__,bocil bisa lepas losss wis ga mikir mbuh mau sahur apa mbuh mu ada lebaran mbuh mau ada takbiran mbuh mau ada piknik baju baru wisit helehh ga nguruss pokoke romadhon saiki momene kudu seneng² urusan thr rasah dipikir besok dipikir besok akire vibese muncul dewe,Bocil Can Free Loss Wat Thing Mbuah Want To Mbuh Mu Why To Mad Romadhoken Momel Moments Knowing To Get Yourself Thr Tool Tom,neutral
2023-04-08 11:25:11+00:00,dwsrmlna,para beban kerja kagak tapi selalu jadi garda terdepan minta thr 😮‍💨 pdhl yg kerja jg belom tentu udh dapet thr,"The workloads are not but always the forefront of asking for THR 😮‍💨 pdhl who work too, of course I have got a THR",neutral
2023-04-08 11:21:36+00:00,Yourgodmother13,emak kapan bagi thr hilalnya masih ketutup awan kinton lagian anak anak gua udah pada makmur jadi gak perlu thr dari emaknya iya gak😎😎,"Mother, when for the hilane, the hilance is still covered by Kinton's clouds anyways, my children are already in prosper",neutral
2023-04-08 11:17:53+00:00,cermateguh,waaduh kang palak eh kumpulan orang cinta negara pada nyebar surat wajar sih lagi puasa gini hajatan dikit bahkan hampir gada dateng ke masjid paling banter dapet gorengan demi lebaran dengan rendang surat tagihan thr pun ku sebarkan,"Waaduh kang palak eh a collection of people love the country in spreading a fair letter again, fasting like a little celebration, even almost a lot to go to the mosque at most get fried food for the Eid with the rendang of the THR billing letter, I distributed",positive
2023-04-08 09:49:51+00:00,pnsdaerahjelata,ekonomi jumbo bayar thr pns 50 chuaakkk,Jumbo Economy Paying THR PNS 50 Chuaks,neutral
2023-04-08 09:25:00+00:00,worksfess,wrk nangis 300rb buat sebulan ke depan udahmah belum ngasih thr buat ponakan sekarang motorku juga rusak😭,"Wrk crying 300 thousand for the next month, I haven't given a THR for the niece now my motorbike is also broken",negative
2023-04-08 08:20:47+00:00,txtfrom1989,mau sedih tapi thr udah cair,I want to be sad but the THR is already liquid,negative
2023-04-08 06:30:54+00:00,CappucinoNdeso,saya setuju ormas yg suka mintamalak dan minta thr kewarga sebaiknya ijinya di coret sajakarena sdh melenceng dari kaedah pendirianya dulu,I agree that mass organizations who like to ask for divorce and ask the THR to residents should be permitted to be caught in the pakjaksena because they have been deviated from Kaedah their establishment first,neutral
