date,content,username,tweet_url,reply_count,retweet_count,like_count,verified,followers,content_clean,content_translated
2023-04-08 15:01:24+00:00,"Dr  Piutang THR
Dr  Piutang Gaji
    Cr  Pendapatan 
(jurnal accrual setaun sekali)",txtdrakuntansi,https://twitter.com/txtdrakuntansi/status/1644717080909058048,1,6,11,False,59697,dr piutang thr dr piutang gaji cr pendapatan jurnal accrual setaun sekali,from the receivables of the THR receivables from the salary receivables CR revenue journal accrual
2023-04-08 14:52:40+00:00,"@islabellecoco @gojekindonesia Sedikit curhat bahkan pas korona aja w pernah masuk full gaji setngah  thr di utangin, bahkan smp thn lalu jg semua dh normal thr msh dicicil. Apa gue ngeluh ke abang ojol? Gamau generalisasikan abang ojol krn ada yg baik jg. Tp skrg populasinya udh 50:50,. Sekian trm ksh",gummypark61,https://twitter.com/gummypark61/status/1644714883404161025,1,1,1,False,14,sedikit curhat bahkan pas korona aja pernah masuk full gaji setngah thr di utangin bahkan smp thn lalu jg semua dh normal thr msh dicicil apa gue ngeluh ke abang ojol gamau generalisasikan abang ojol krn ada yg baik jg tp skrg populasinya udh 5050 sekian trm ksh,"a little vent even when corona just entered full salary after the THR was debated even in junior high school then all of the normal THR MSH still in installments did I complain to the brother of Ojol, I didn't generalize the brother of the ojol because there was a good one but now the population was 5050 so much"
2023-04-08 14:45:03+00:00,"rep dibawah sini yg mau spay thr receh 1.000 untuk 5 orang

draw via @sweenpi #zonauang

siapapun boleh ikut GAK USAH FOLLOW enih akun misuh2 dan join gea soalnya",yufada_,https://twitter.com/yufada_/status/1644712966993084416,26,1,1,False,113,rep dibawah sini yg mau spay thr receh 1000 untuk 5 orang draw via siapapun boleh ikut gak usah follow enih akun misuh2 dan join gea soalnya,Rep below are those who want to spay THR DREH 1000 for 5 DRAW VIA Via Anyone may not have to follow the Misuh2 account and join GEA because the problem is
2023-04-08 13:39:44+00:00,"Selamat kepada :
@emirahay82
@0M_YANT0
@MissSundanese_
@Wiindaa_16
@Muhib26_
Pemenang GA THR masing2 100 K SPay Silakan DM No.  ShopeePay",mindaart,https://twitter.com/mindaart/status/1644696530463653889,12,1,5,False,1551,selamat kepada pemenang ga thr masing2 100 spay silakan dm no shopeepay,Congratulations to the winner of GA THR each 100 Spay please DM No Shopeepay
2023-04-08 12:51:00+00:00,ak supres pake link thr sama daget yh yg ke 4,haelovelychan,https://twitter.com/haelovelychan/status/1644684264963989505,18,2,35,False,57379,ak supres pake link thr sama daget yh yg ke 4,A suppress packed link
2023-04-08 12:10:02+00:00,Work! guys THR kalian cair tanggal berapaa? 🤔,worksfess,https://twitter.com/worksfess/status/1644673957604503554,81,1,11,False,615706,work guys thr kalian cair tanggal berapaa,Work guys THR when is it disbursed what date
2023-04-08 12:05:35+00:00,"Kokas Midnite Sale, Next Week GI Midnite sale. 

Selamat menghabiskan THR nya manteman ❤️🫰🏽",iciocaica,https://twitter.com/iciocaica/status/1644672838006366208,7,1,1,False,483,kokas midnite sale next week gi midnite sale selamat menghabiskan thr nya manteman ❤️🫰🏽,Kokas Midnite Sale Next Week Gi Midnite Sale Safe to Spend Thr Manteman ❤️🫰🏽
2023-04-08 11:33:36+00:00,"Bocil;
Bisa lepas losss, wis ga mikir.
Mbuh mau sahur apa,
Mbuh mu ada lebaran,
Mbuh mau ada takbiran,
Mbuh mau ada piknik, baju baru, wisit, helehh ga nguruss.

Pokok'e Romadhon saiki momene kudu seneng², urusan THR rasah dipikir, besok dipikir besok.

Akire vibese muncul dewe.",kangsoul__,https://twitter.com/kangsoul__/status/1644664786326786048,1,1,15,False,8914,bocil bisa lepas losss wis ga mikir mbuh mau sahur apa mbuh mu ada lebaran mbuh mau ada takbiran mbuh mau ada piknik baju baru wisit helehh ga nguruss pokoke romadhon saiki momene kudu seneng² urusan thr rasah dipikir besok dipikir besok akire vibese muncul dewe,Bocil Can Free Loss Wat Thing Mbuah Want To Mbuh Mu Why To Mad Romadhoken Momel Moments Knowing To Get Yourself Thr Tool Tom
2023-04-08 11:25:11+00:00,"@tanyakanrl para beban, kerja kagak, tapi selalu jadi garda terdepan minta THR 😮‍💨

pdhl yg kerja jg belom tentu udh dapet THR..",dwsrmlna,https://twitter.com/dwsrmlna/status/1644662670006824960,1,1,86,False,4,para beban kerja kagak tapi selalu jadi garda terdepan minta thr 😮‍💨 pdhl yg kerja jg belom tentu udh dapet thr,"The workloads are not but always the forefront of asking for THR 😮‍💨 pdhl who work too, of course I have got a THR"
2023-04-08 11:21:36+00:00,"Emak kapan bagi THR????
Hilalnya masih ketutup awan kinton. Lagian anak anak gua udah pada makmur jadi gak perlu THR dari emaknya. Iya gak😎😎",Yourgodmother13,https://twitter.com/Yourgodmother13/status/1644661766759264258,18,1,21,False,5367,emak kapan bagi thr hilalnya masih ketutup awan kinton lagian anak anak gua udah pada makmur jadi gak perlu thr dari emaknya iya gak😎😎,"Mother, when for the hilane, the hilance is still covered by Kinton's clouds anyways, my children are already in prosper"
2023-04-08 11:17:53+00:00,"@tanyakanrl Waaduh kang palak eh kumpulan orang cinta negara pada nyebar surat.

Wajar sih, lagi puasa gini hajatan dikit bahkan hampir gada, dateng ke masjid paling banter dapet gorengan 😌

demi lebaran dengan rendang, surat tagihan thr pun ku sebarkan.",cermateguh,https://twitter.com/cermateguh/status/1644660834050916352,1,1,44,False,670,waaduh kang palak eh kumpulan orang cinta negara pada nyebar surat wajar sih lagi puasa gini hajatan dikit bahkan hampir gada dateng ke masjid paling banter dapet gorengan demi lebaran dengan rendang surat tagihan thr pun ku sebarkan,"Waaduh kang palak eh a collection of people love the country in spreading a fair letter again, fasting like a little celebration, even almost a lot to go to the mosque at most get fried food for the Eid with the rendang of the THR billing letter, I distributed"
